"@timestamp","message"
"2025-02-28T02:53:16.546Z","calling handleMessage for: AbstractDto{applicationName='my-lhdnm', dataprivacyRegion=DataprivacyRegion{id=1, slug='eu', region='EEA', country='IE', countrySubentity='null', provider='AWS', providerRegion='eu-west-1', mainBucket='sc-peppol'}, subEnvironment='live', companyCode='null', partnerKey='null', bucketName='null', keyPrefix='null', key='null'}AbstractInvoiceSubmissionActionDto{invoiceSubmissionActionId=9937930, bucketName='sc-peppol', keyPrefix='out/9937930/2025-02-28T00:53:04-ea91f979-bb6c-4321-9fb3-ef58a859be33', credentials=com.storecove.smc.commons.dataprivacy.crypto.Credentials@763b6851Credentials{certificateEncryptedData='************', certificateEncryptedSymmetricKey='************', certificateEncryptedIv='************', certificateEncryptedAuthTag='************', certificateSymmetricEncryptionAlgorithm='null', certificatePkiEncryptionAlgorithm='null', certificateDataprivacyRegion=null, passphraseEncryptedData='************', passphraseEncryptedSymmetricKey='************', passphraseEncryptedIv='************', passphraseEncryptedAuthTag='************', passphraseSymmetricEncryptionAlgorithm='null', passphrasePkiEncryptionAlgorithm='null', passphraseDataprivacyRegion=null, clientidEncryptedData='************', clientidEncryptedSymmetricKey='************', clientidEncryptedIv='************', clientidEncryptedAuthTag='************', clientidSymmetricEncryptionAlgorithm='AES/GCM/NoPadding', clientidPkiEncryptionAlgorithm='RSA/ECB/OAEPPadding', clientidDataprivacyRegion=DataprivacyRegion{id=1, slug='eu', region='EEA', country='IE', countrySubentity='null', provider='AWS', providerRegion='eu-west-1', mainBucket='sc-peppol'}, clientsecretEncryptedData='************', clientsecretEncryptedSymmetricKey='************', clientsecretEncryptedIv='************', clientsecretEncryptedAuthTag='************', clientsecretSymmetricEncryptionAlgorithm='AES/GCM/NoPadding', clientsecretPkiEncryptionAlgorithm='RSA/ECB/OAEPPadding', clientsecretDataprivacyRegion=DataprivacyRegion{id=1, slug='eu', region='EEA', country='IE', countrySubentity='null', provider='AWS', providerRegion='eu-west-1', mainBucket='sc-peppol'}}}InvoiceSubmissionActionStatusRequestDto{invoiceId='R7M85BWDK5FSNS2AKP0P05NJ10SPLITTYC22902977090'}"
"2025-02-28T02:53:16.539Z","Metrics scheduler closed"
"2025-02-28T02:53:16.539Z","Closing reporter org.apache.kafka.common.metrics.JmxReporter"
"2025-02-28T02:53:16.539Z","Closing reporter org.apache.kafka.common.telemetry.internals.ClientTelemetryReporter"
"2025-02-28T02:53:16.539Z","Metrics reporters closed"
"2025-02-28T02:53:16.539Z","App info kafka.producer for producer-producer-transaction-id-7ce91d11-e8fe-48fa-8941-b61e6c417c9a unregistered"
"2025-02-28T02:53:16.539Z","commiting message AbstractDto{applicationName='my-lhdnm', dataprivacyRegion=DataprivacyRegion{id=1, slug='eu', region='EEA', country='IE', countrySubentity='null', provider='AWS', providerRegion='eu-west-1', mainBucket='sc-peppol'}, subEnvironment='live', companyCode='null', partnerKey='null', bucketName='null', keyPrefix='null', key='null'}AbstractInvoiceSubmissionActionDto{invoiceSubmissionActionId=9937945, bucketName='sc-peppol', keyPrefix='out/9937945/2025-02-28T00:56:57-7b4fbba6-04de-490a-a3cd-2d3b42946923', credentials=com.storecove.smc.commons.dataprivacy.crypto.Credentials@34ef2844Credentials{certificateEncryptedData='************', certificateEncryptedSymmetricKey='************', certificateEncryptedIv='************', certificateEncryptedAuthTag='************', certificateSymmetricEncryptionAlgorithm='null', certificatePkiEncryptionAlgorithm='null', certificateDataprivacyRegion=null, passphraseEncryptedData='************', passphraseEncryptedSymmetricKey='************', passphraseEncryptedIv='************', passphraseEncryptedAuthTag='************', passphraseSymmetricEncryptionAlgorithm='null', passphrasePkiEncryptionAlgorithm='null', passphraseDataprivacyRegion=null, clientidEncryptedData='************', clientidEncryptedSymmetricKey='************', clientidEncryptedIv='************', clientidEncryptedAuthTag='************', clientidSymmetricEncryptionAlgorithm='AES/GCM/NoPadding', clientidPkiEncryptionAlgorithm='RSA/ECB/OAEPPadding', clientidDataprivacyRegion=DataprivacyRegion{id=1, slug='eu', region='EEA', country='IE', countrySubentity='null', provider='AWS', providerRegion='eu-west-1', mainBucket='sc-peppol'}, clientsecretEncryptedData='************', clientsecretEncryptedSymmetricKey='************', clientsecretEncryptedIv='************', clientsecretEncryptedAuthTag='************', clientsecretSymmetricEncryptionAlgorithm='AES/GCM/NoPadding', clientsecretPkiEncryptionAlgorithm='RSA/ECB/OAEPPadding', clientsecretDataprivacyRegion=DataprivacyRegion{id=1, slug='eu', region='EEA', country='IE', countrySubentity='null', provider='AWS', providerRegion='eu-west-1', mainBucket='sc-peppol'}}}InvoiceSubmissionActionStatusRequestDto{invoiceId='GR47KWFKKCJW8FA6943X05NJ10SPLITTYC1851356050'}"
"2025-02-28T02:53:16.537Z","[Producer clientId=producer-producer-transaction-id-7ce91d11-e8fe-48fa-8941-b61e6c417c9a, transactionalId=producer-transaction-id-7ce91d11-e8fe-48fa-8941-b61e6c417c9a] Closing the Kafka producer with timeoutMillis = 9223372036854775807 ms."
"2025-02-28T02:53:16.500Z","[Producer clientId=producer-producer-transaction-id-7ce91d11-e8fe-48fa-8941-b61e6c417c9a, transactionalId=producer-transaction-id-7ce91d11-e8fe-48fa-8941-b61e6c417c9a] ProducerId set to 9755687 with epoch 0"
"2025-02-28T02:53:16.365Z","[Producer clientId=producer-producer-transaction-id-7ce91d11-e8fe-48fa-8941-b61e6c417c9a, transactionalId=producer-transaction-id-7ce91d11-e8fe-48fa-8941-b61e6c417c9a] Cluster ID: C3Jpg5PcQ_G3EXx3seSTHQ"
